Persona	Sexo	Edad	Antigüedad	Hijos	Ingresos	Automóvil	Seguro
1	1	59	6	3	1821	1	1
2	0	26	12	4	2352	1	0
3	0	54	10	3	1805	1	1
4	1	43	6	3	1351	1	1
5	0	55	9	5	869	1	1
6	1	56	8	4	1726	1	1
7	1	41	12	4	2513	0	1
8	0	35	14	3	1217	1	1
9	1	53	12	1	1672	1	0
10	0	52	15	1	3136	1	0
11	0	31	14	2	1038	1	0
12	0	26	15	4	1497	1	0
13	0	39	15	1	2449	1	0
14	0	50	6	3	1619	1	1
15	0	38	11	2	1429	1	0
16	1	62	15	2	2011	1	1
17	0	31	8	3	1605	0	0
18	0	51	10	4	867	1	1
19	1	47	9	3	1548	0	0
20	1	33	10	1	2465	0	0
21	0	32	5	5	1262	0	0
22	0	52	10	2	3254	1	0
23	1	64	9	3	3442	1	1
24	1	24	8	3	2265	1	0
25	1	60	9	2	1596	1	1
26	0	37	8	2	2855	0	0
27	1	54	15	4	1959	0	0
28	0	26	11	2	1146	1	0
29	1	41	12	2	2840	1	1
30	0	37	8	5	2313	0	0
31	1	45	13	5	2541	1	1
32	1	58	10	3	2165	1	1
33	1	40	12	5	1523	0	0
34	1	53	6	3	938	0	1
35	1	31	10	2	2987	0	0
36	1	36	6	2	2981	1	1
37	0	35	13	4	2903	1	1
38	0	45	7	4	3239	1	0
39	1	52	5	2	1598	1	1
40	1	55	8	1	3292	1	1
41	0	46	9	2	2295	1	1
42	1	57	8	5	2925	1	1
43	1	41	11	3	3099	1	0
44	1	36	11	2	3289	1	1
45	0	55	11	3	3545	0	0
46	1	64	10	5	1822	0	1
47	1	64	13	3	3473	1	1
48	0	43	10	1	1620	1	0
49	1	56	7	5	2184	1	1
50	1	43	9	2	2647	1	1
51	0	37	11	1	2190	0	0
52	0	47	14	5	2016	1	1
53	0	24	6	5	3553	0	0
54	1	48	15	2	2137	1	1
55	1	54	14	5	1947	1	1
56	1	39	13	5	1860	1	1
57	1	51	10	3	3589	1	0
58	1	33	8	5	1605	1	0
59	1	25	15	1	2776	1	0
60	0	41	5	1	2682	0	0
61	0	63	14	2	1313	1	1
62	1	36	5	5	2431	1	1
63	0	31	11	1	1564	0	0
64	0	52	10	1	1287	1	1
65	1	26	12	4	2088	1	0
66	1	50	14	3	2351	1	1
67	0	49	7	4	1569	0	0
68	0	51	6	1	2084	1	1
69	0	48	10	1	1615	0	1
70	0	40	10	5	2445	0	1
71	0	32	9	3	1357	0	0
72	0	46	5	2	2153	0	0
73	0	60	9	4	2366	1	1
74	1	42	14	3	2241	0	0
75	1	36	13	2	1025	1	1
76	1	54	5	2	3212	1	0
77	1	36	5	1	2797	1	0
78	1	47	10	3	2149	1	1
79	1	46	7	2	3251	1	0
80	1	42	11	1	2104	1	0
81	0	56	12	4	906	1	1
82	0	34	6	1	1875	0	0
83	1	60	15	1	1168	1	1
84	1	52	5	2	1773	1	1
85	0	61	10	2	3295	1	1
86	0	43	5	1	2737	1	1
87	0	59	14	4	876	1	1
88	0	61	13	1	1162	1	1
89	0	53	11	4	3265	1	1
90	1	37	7	2	3453	0	0
91	1	57	6	2	3572	1	1
92	0	57	8	3	1843	1	1
93	1	41	12	2	3418	1	1
94	1	42	12	2	1849	0	0
95	1	63	9	1	2293	1	1
96	1	42	7	2	1515	1	1
97	1	52	14	2	1994	0	0
98	1	35	10	3	2440	1	1
99	1	42	11	2	3130	1	1
100	0	44	13	3	3206	1	0
101	1	53	8	2	3052	1	1
102	0	48	5	2	2921	1	1
103	0	39	8	3	948	1	0
104	1	44	8	5	1222	1	1
105	0	35	12	1	3248	0	1
106	0	53	5	3	3372	0	0
107	0	42	9	3	1056	1	0
