Persona	Sexo	Edad	Antigüedad	Hijos	Ingresos	Automóvil	Seguro
1	1	59	1	3	1821	1	0
2	0	26	5	4	2352	1	1
3	0	54	2	3	1805	1	0
4	1	43	4	3	1351	1	0
5	0	55	3	5	869	1	0
6	1	56	2	4	1726	1	0
7	1	41	4	4	2513	0	1
8	0	35	1	3	1217	1	0
9	1	53	6	1	1672	1	0
10	0	52	1	1	3136	1	1
11	0	31	2	2	1038	1	0
12	0	26	3	4	1497	1	0
13	0	39	3	1	2449	1	1
14	0	50	6	3	1619	1	0
15	0	38	2	2	1429	1	0
16	1	62	4	2	2011	1	1
17	0	31	4	3	1605	0	0
18	0	51	1	4	867	1	0
19	1	47	2	3	1548	0	0
20	1	33	4	1	2465	0	1
21	0	32	6	5	1262	0	0
22	0	52	6	2	3254	1	1
23	1	64	6	3	3442	1	1
24	1	24	2	3	2265	1	1
25	1	60	5	2	1596	1	0
26	0	37	4	2	2855	0	1
27	1	54	2	4	1959	0	0
28	0	26	1	2	1146	1	0
29	1	41	1	2	2840	1	1
30	0	37	2	5	2313	0	1
31	1	45	5	5	2541	1	1
32	1	58	4	3	2165	1	1
33	1	40	1	5	1523	0	0
34	1	53	3	3	938	0	0
35	1	31	3	2	2987	0	1
36	1	36	1	2	2981	1	1
37	0	35	5	4	2903	1	1
38	0	45	2	4	3239	1	1
39	1	52	2	2	1598	1	0
40	1	55	6	1	3292	1	1
41	0	46	5	2	2295	1	1
42	1	57	3	5	2925	1	1
43	1	41	1	3	3099	1	1
44	1	36	5	2	3289	1	1
45	0	55	4	3	3545	0	1
46	1	64	3	5	1822	0	0
47	1	64	4	3	3473	1	1
48	0	43	2	1	1620	1	0
49	1	56	2	5	2184	1	1
50	1	43	4	2	2647	1	1
51	0	37	5	1	2190	0	1
52	0	47	1	5	2016	1	1
53	0	24	4	5	3553	0	1
54	1	48	5	2	2137	1	1
55	1	54	5	5	1947	1	0
56	1	39	5	5	1860	1	0
57	1	51	1	3	3589	1	1
58	1	33	5	5	1605	1	0
59	1	25	1	1	2776	1	1
60	0	41	1	1	2682	0	1
61	0	63	3	2	1313	1	0
62	1	36	4	5	2431	1	1
63	0	31	5	1	1564	0	0
64	0	52	6	1	1287	1	0
65	1	26	3	4	2088	1	1
66	1	50	2	3	2351	1	1
67	0	49	3	4	1569	0	0
68	0	51	1	1	2084	1	1
69	0	48	5	1	1615	0	0
70	0	40	1	5	2445	0	1
71	0	32	3	3	1357	0	0
72	0	46	6	2	2153	0	1
73	0	60	4	4	2366	1	1
74	1	42	6	3	2241	0	1
75	1	36	6	2	1025	1	0
76	1	54	4	2	3212	1	1
77	1	36	1	1	2797	1	1
78	1	47	5	3	2149	1	1
79	1	46	4	2	3251	1	1
80	1	42	6	1	2104	1	1
81	0	56	1	4	906	1	0
82	0	34	4	1	1875	0	0
83	1	60	6	1	1168	1	0
84	1	52	2	2	1773	1	0
85	0	61	2	2	3295	1	1
86	0	43	5	1	2737	1	1
87	0	59	5	4	876	1	0
88	0	61	6	1	1162	1	0
89	0	53	6	4	3265	1	1
90	1	37	5	2	3453	0	1
91	1	57	5	2	3572	1	1
92	0	57	4	3	1843	1	0
93	1	41	4	2	3418	1	1
94	1	42	1	2	1849	0	0
95	1	63	2	1	2293	1	1
96	1	42	2	2	1515	1	0
97	1	52	6	2	1994	0	0
98	1	35	4	3	2440	1	1
99	1	42	5	2	3130	1	1
100	0	44	3	3	3206	1	1
101	1	53	3	2	3052	1	1
102	0	48	2	2	2921	1	1
103	0	39	1	3	948	1	0
104	1	44	6	5	1222	1	0
105	0	35	2	1	3248	0	1
106	0	53	1	3	3372	0	1
107	0	42	4	3	1056	1	0
108	1	28	6	2	3216	0	1
109	1	49	4	2	3636	0	1
110	1	43	5	3	1774	1	0
111	0	37	2	2	3035	1	1
112	0	33	3	0	1724	1	0
113	1	55	6	5	3089	0	1
114	0	64	2	2	1527	1	0
115	0	62	6	4	3304	1	1
116	1	53	2	3	2325	1	1
117	0	24	1	1	1648	1	0
118	0	27	3	0	2044	1	1
119	0	43	2	1	2948	0	1
120	1	35	2	5	3732	0	1
121	0	63	5	5	1564	1	0
122	0	30	2	3	2250	1	1
123	0	64	4	2	965	0	0
124	1	58	5	4	3332	0	1
125	0	33	6	3	1032	1	0
126	0	36	4	3	1089	0	0
127	0	40	3	2	1027	1	0
128	0	27	6	2	2574	1	1
129	1	29	6	5	2890	0	1
130	0	60	6	4	3233	0	1
131	1	44	3	4	3621	1	1
132	0	46	1	4	3691	0	1
133	1	56	1	1	916	1	0
134	1	62	3	5	3815	1	1
135	1	44	4	5	1209	1	0
136	0	43	1	1	2915	0	1
137	1	64	2	5	1180	0	0
138	0	33	1	1	3728	1	1
139	0	57	6	0	1129	1	0
140	0	32	1	0	2140	0	1
141	1	49	2	3	3359	1	1
142	0	63	6	3	3408	1	1
143	0	35	1	1	2271	0	1
144	0	25	5	5	1238	0	0
145	0	35	6	3	3157	0	1
146	1	54	1	5	1022	1	0
