Id	Name	Type	HP	Attack	Defense	Sp.Atk	Sp.Def	Speed	Generation	Legendary
1	Bulbasaur	Grass	45	49	49	65	65	45	1	0
2	Ivysaur	Grass	60	62	63	80	80	60	1	0
3	Venusaur	Grass	80	82	83	100	100	80	1	0
4	VenusaurMega Venusaur	Grass	80	100	123	122	120	80	1	0
5	Charmander	Fire	39	52	43	60	50	65	1	0
6	Charmeleon	Fire	58	64	58	80	65	80	1	0
7	Charizard	Fire	78	84	78	109	85	100	1	0
8	CharizardMega Charizard X	Fire	78	130	111	130	85	100	1	0
9	CharizardMega Charizard Y	Fire	78	104	78	159	115	100	1	0
10	Squirtle	Water	44	48	65	50	64	43	1	0
11	Wartortle	Water	59	63	80	65	80	58	1	0
12	Blastoise	Water	79	83	100	85	105	78	1	0
13	BlastoiseMega Blastoise	Water	79	103	120	135	115	78	1	0
14	Caterpie	Bug	45	30	35	20	20	45	1	0
15	Metapod	Bug	50	20	55	25	25	30	1	0
16	Butterfree	Bug	60	45	50	90	80	70	1	0
17	Weedle	Bug	40	35	30	20	20	50	1	0
18	Kakuna	Bug	45	25	50	25	25	35	1	0
19	Beedrill	Bug	65	90	40	45	80	75	1	0
20	BeedrillMega Beedrill	Bug	65	150	40	15	80	145	1	0
21	Pidgey	Normal	40	45	40	35	35	56	1	0
22	Pidgeotto	Normal	63	60	55	50	50	71	1	0
23	Pidgeot	Normal	83	80	75	70	70	101	1	0
24	PidgeotMega Pidgeot	Normal	83	80	80	135	80	121	1	0
25	Rattata	Normal	30	56	35	25	35	72	1	0
26	Raticate	Normal	55	81	60	50	70	97	1	0
27	Spearow	Normal	40	60	30	31	31	70	1	0
28	Fearow	Normal	65	90	65	61	61	100	1	0
29	Ekans	Poison	35	60	44	40	54	55	1	0
30	Arbok	Poison	60	85	69	65	79	80	1	0
31	Pikachu	Electric	35	55	40	50	50	90	1	0
32	Raichu	Electric	60	90	55	90	80	110	1	0
33	Sandshrew	Ground	50	75	85	20	30	40	1	0
34	Sandslash	Ground	75	100	110	45	55	65	1	0
35	Nidoranâ™€	Poison	55	47	52	40	40	41	1	0
36	Nidorina	Poison	70	62	67	55	55	56	1	0
37	Nidoqueen	Poison	90	92	87	75	85	76	1	0
38	Nidoranâ™‚	Poison	46	57	40	40	40	50	1	0
39	Nidorino	Poison	61	72	57	55	55	65	1	0
40	Nidoking	Poison	81	102	77	85	75	85	1	0
41	Clefairy	Fairy	70	45	48	60	65	35	1	0
42	Clefable	Fairy	95	70	73	95	90	60	1	0
43	Vulpix	Fire	38	41	40	50	65	65	1	0
44	Ninetales	Fire	73	76	75	81	100	100	1	0
45	Jigglypuff	Normal	115	45	20	45	25	20	1	0
46	Wigglytuff	Normal	140	70	45	85	50	45	1	0
47	Zubat	Poison	40	45	35	30	40	55	1	0
48	Golbat	Poison	75	80	70	65	75	90	1	0
49	Oddish	Grass	45	50	55	75	65	30	1	0
50	Gloom	Grass	60	65	70	85	75	40	1	0
51	Vileplume	Grass	75	80	85	110	90	50	1	0
52	Paras	Bug	35	70	55	45	55	25	1	0
53	Parasect	Bug	60	95	80	60	80	30	1	0
54	Venonat	Bug	60	55	50	40	55	45	1	0
55	Venomoth	Bug	70	65	60	90	75	90	1	0
56	Diglett	Ground	10	55	25	35	45	95	1	0
57	Dugtrio	Ground	35	80	50	50	70	120	1	0
58	Meowth	Normal	40	45	35	40	40	90	1	0
59	Persian	Normal	65	70	60	65	65	115	1	0
60	Psyduck	Water	50	52	48	65	50	55	1	0
61	Golduck	Water	80	82	78	95	80	85	1	0
62	Mankey	Fighting	40	80	35	35	45	70	1	0
63	Primeape	Fighting	65	105	60	60	70	95	1	0
64	Growlithe	Fire	55	70	45	70	50	60	1	0
65	Arcanine	Fire	90	110	80	100	80	95	1	0
66	Poliwag	Water	40	50	40	40	40	90	1	0
67	Poliwhirl	Water	65	65	65	50	50	90	1	0
68	Poliwrath	Water	90	95	95	70	90	70	1	0
69	Abra	Psychic	25	20	15	105	55	90	1	0
70	Kadabra	Psychic	40	35	30	120	70	105	1	0
71	Alakazam	Psychic	55	50	45	135	95	120	1	0
72	AlakazamMega Alakazam	Psychic	55	50	65	175	95	150	1	0
73	Machop	Fighting	70	80	50	35	35	35	1	0
74	Machoke	Fighting	80	100	70	50	60	45	1	0
75	Machamp	Fighting	90	130	80	65	85	55	1	0
76	Bellsprout	Grass	50	75	35	70	30	40	1	0
77	Weepinbell	Grass	65	90	50	85	45	55	1	0
78	Victreebel	Grass	80	105	65	100	70	70	1	0
79	Tentacool	Water	40	40	35	50	100	70	1	0
80	Tentacruel	Water	80	70	65	80	120	100	1	0
81	Geodude	Rock	40	80	100	30	30	20	1	0
